Supplementary Material Table 1: Products and ingredients used for calculation of the percent of animal-derived energy (Table 5). The ‘Nth Ingredient Equivalents’ are the Table 3 ingredients with known nutritional content that were equated with the ingredients as listed.,,,,,,,,,,,,
PREMIUM DOG FOODS,,,,,,,,,,,,
Brand,Product,1st Ingredient,2nd Ingredient,3rd Ingredient,4th Ingredient,5th Ingredient,,1st Ingredient Equivalent,2nd Ingredient Equivalent,3rd Ingredient Equivalent,4th Ingredient Equivalent,5th Ingredient Equivalent
ACANA,ACANA Wild Prairie Regional Formula Grain-Free Dry Dog Food,debonedchicken,chickenmeal,greenpeas,turkeymeal,chickenliveroil,,poultry,poultryandbonemeal,pea,dry poultry,meat fat
ACANA,ACANA Pacifica Regional Formula Grain-Free Dry Dog Food,bonelesssalmon,salmonmeal,herringmeal,whitefishmeal,greenpeas,,fish,dry fish,dry fish,dry fish,pea
ACANA,ACANA Ranchlands Regional Formula Grain-Free Dry Dog Food,debonedbeef,beefmeal,greenpeas,debonedlamb,lambmeal,,beef,dry beef,pea,lamb,dry lamb
ACANA,ACANA Grasslands Regional Formula Grain-Free Dry Dog Food,debonedlamb,lambmeal,duckmeal,whiteﬁshmeal,wholepeas,,lamb,dry lamb,dry poultry,dry fish,pea
ACANA,ACANA Chicken & Burbank Potato Formula Dry Dog Food,chickenmeal,debonedchicken,wholepotato,steel-cutoats,peas,,poultryandbonemeal,poultry,tuber,grain,pea
ACANA,ACANA Duck & Bartlett Pear Singles Formula Dry Dog Food,duckmeal,debonedduck,greenlentils,redlentils,duckliver,,dry poultry,poultry,pea,pea,poultry
ACANA,ACANA Lamb & Okanagan Apple Singles Formula Dry Dog Food,lambmeal,debonedlamb,greenlentils,redlentils,lambliver,,dry lamb,lamb,pea,pea,lamb
ACANA,ACANA Pork & Butternut Squash Singles Formula Dry Dog Food,debonedpork,porkmeal,greenlentils,redlentils,porkliver,,pork,dry pork,pea,pea,pork
Addiction,Addiction Grain-Free Viva La Venison Dry Dog Food,venisonmeal,driedpotatoes,chickenfat(freefromchickenproteinandnaturallypreservedwithmixedtocopherols-asourceofvitamine),naturalflavors,driedegg,,dry beef,tuber,meat fat,null,dry egg
Addiction,Addiction New Zealand Brushtail & Vegetables Entree Canned Dog Food,brushtail,venison,carrots,potatoes,peas,,poultry,beef,other veg,tuber,pea
Addiction,Addiction Grain-Free Salmon Bleu Dry Dog Food,salmonmeal,driedpotatoes,driedtapioca,chickenfat(preservedwithmixedtocopherols),peas,,dry fish,tuber,grain,meat fat,pea
Addiction,Addiction New Zealand Venison & Apples Entree Canned Dog Food,venison,apples,carrots,potatoes,peas,,beef,other veg,other veg,tuber,pea
Addiction,Addiction Unagi & Seaweed Entree Canned Dog Food,eel,venison,potatoes,carrots,peas,,fish,beef,tuber,other veg,pea
Annamaet,Annamaet Grain-Free Lean Low Fat Formula Dry Dog Food,chickenmeal,fieldpeas,chickpeas,potato,tapioca,,poultryandbonemeal,pea,pea,tuber,grain
Annamaet,Annamaet Grain-Free Salcha Poulet Formula Dry Dog Food,chickenmeal,lentils,duckmeal,fieldpeas,turkeymeal,,poultryandbonemeal,pea,dry poultry,pea,dry poultry
Annamaet,Annamaet Grain-Free Aqualuk Cold Water Formula Dry Dog Food,salmonmeal,fieldpeas,herringmeal,chickpeas,potato,,dry fish,pea,dry fish,pea,tuber
Annamaet,Annamaet Grain-Free Manitok Red Meat Formula Dry Dog Food,lambmeal,potato,buffalomeal,fieldpeas,tapioca,,dry lamb,tuber,dry beef,pea,grain
Annamaet,Annamaet Option 24% Dry Dog Food,salmonmeal,brownrice,millet,venisonmeal,rolledoats,,dry fish,grain,grain,dry beef,grain
AvoDerm,AvoDerm Natural Chicken Meal & Brown Rice Formula Large Breed Adult Dry Dog Food,chickenmeal,groundwholebrownrice,groundwholewhiterice,oatmeal,salmonmeal,,poultryandbonemeal,grain,grain,grain,dry fish
AvoDerm,AvoDerm Natural Turkey & Vegetable Stew Recipe Canned Dog Food,turkeybroth,turkey,turkeyliver,potatoes,carrots,,poultry,poultry,poultry,tuber,other veg
AvoDerm,AvoDerm Natural Original Formula Canned Dog Food,lamb,chickenbroth,chicken,chickenliver,oceanfish,,lamb,poultry,poultry,poultry,fish
AvoDerm,AvoDerm Natural Chicken & Rice Formula Canned Dog Food,chicken,chickenbroth,chickenliver,oceanfish,rice,,poultry,poultry,poultry,fish,grain
Back to Basics,Back to Basics Pork Formula Dry Dog Food,porkliver,porkmeal,porkprotein,tapioca,porkfat(naturallypreservedwithmixedtocopherols),,pork,dry pork,meat protein,grain,meat fat
Back to Basics,Back to Basics Turkey Formula Dry Dog Food,turkeygiblets(turkeyliversandturkeyhearts),turkeymeal,turkey,chickenmeal,tapioca,,poultry,dry poultry,poultry,poultryandbonemeal,grain
Back to Basics,Back to Basics Open Range Formula Dry Dog Food,beefliver,venisonmeal,porkmeal,porkprotein,porkfat(naturallypreserved),,beef,dry beef,dry pork,meat protein,meat fat
Back to Basics,Back to Basics Giblets & Duck Entree in Gravy Wet Food for Dogs,duckbroth,giblets,duck,driedeggwhite,potatostarch,,poultry,poultry,poultry,dry egg,tuber
Back to Basics,Back to Basics Liver & Pork Entree in Gravy Wet Food for Dogs,porkbroth,liver,driedeggwhite,potatostarch,peaprotein,,pork,beef,dry egg,tuber,pea
Back to Basics,Back to Basics Giblets & Turkey Entree in Gravy Wet Food for Dogs,turkeybroth,giblets,turkey,driedeggwhite,potatostarch,,poultry,poultry,poultry,dry egg,tuber
Eagle Pack,Eagle Pack Large & Giant Breed Adult Dry Dog Food,chickenmeal,porkmeal,groundbrownrice,oatmeal,rice,,poultryandbonemeal,dry pork,grain,grain,grain
Eagle Pack,Eagle Pack Small Breed Chicken Meal & Pork Meal Formula Dry Dog Food,chickenmeal,porkmeal,oatmeal,dehulledbarley,groundbrownrice,,poultryandbonemeal,dry pork,grain,grain,grain
Eagle Pack,Eagle Pack Reduced Fat Adult Dry Dog Food,porkmeal,dehulledbarley,peas,groundbrownrice,oatmeal,,dry pork,grain,pea,grain,grain
Eagle Pack,Eagle Pack Lamb Formula Canned Dog Food,lamb,chickenbroth,lambliver,brownrice,carrots,,lamb,poultry,lamb,grain,other veg
Eagle Pack,Eagle Pack Beef Formula Canned Dog Food,beef,beefbroth,chicken,beefliver,brownrice,,beef,beef,poultry,beef,grain
Eagle Pack,Eagle Pack Chicken Formula Canned Dog Food,chicken,chickenbroth,chickenliver,brownrice,driedeggproduct,,poultry,poultry,poultry,grain,dry egg
Eagle Pack,Eagle Pack Power Adult Dry Dog Food,chickenmeal,porkmeal,groundbrownrice,peas,chickenfat(preservedwithmixedtocopherols),,poultryandbonemeal,dry pork,grain,pea,meat fat
Eagle Pack,Eagle Pack Original Chicken Meal & Pork Meal Formula Dry Dog Food,chickenmeal,porkmeal,groundbrownrice,dehulledbarley,oatmeal,,poultryandbonemeal,dry pork,grain,grain,grain
Eagle Pack,Eagle Pack Turkey Formula Canned Dog Food,turkey,chickenbroth,chicken,chickenliver,brownrice,,poultry,poultry,poultry,poultry,grain
Earthborn Holistic,Earthborn Holistic Primitive Natural Grain-Free Natural Dry Dog Food,turkeymeal,chickenmeal,potatoes,chickenfat(preservedwithmixedtocopherols),whitefishmeal,,dry poultry,poultryandbonemeal,tuber,meat fat,dry fish
Earthborn Holistic,Earthborn Holistic Great Plains Feast Grain-Free Natural Dry Dog Food,bisonmeal,peas,peaprotein,tapioca,driedeggproduct,,beef,pea,pea,grain,dry egg
Earthborn Holistic,Earthborn Holistic Coastal Catch Grain-Free Natural Dry Dog Food,herringmeal,potatoes,peas,canolaoil(preservedwithmixedtocopherols),peaprotein,,dry fish,tuber,pea,veg fat,pea
Earthborn Holistic,Earthborn Holistic Meadow Feast Grain-Free Natural Dry Dog Food,lambmeal,peas,tapioca,canolaoil(preservedwithmixedtocopherols),peaprotein,,dry lamb,pea,grain,veg fat,pea
Earthborn Holistic,Earthborn Holistic Grain-Free Weight Control Dry Dog Food,chickenmeal,peas,tapioca,peafiber,tomatopomace,,poultryandbonemeal,pea,grain,pea,other veg
Earthborn Holistic,Earthborn Holistic Chip’s Chicken Casserole Grain-Free Natural Moist Dog Food,chickenbroth,chicken,driedeggproduct,peaprotein,tapioca,,poultry,poultry,dry egg,pea,grain
Earthborn Holistic,Earthborn Holistic Pepper’s Pot Roast Grain-Free Natural Moist Dog Food,beefbroth,beef,driedeggproduct,beefliver,peaprotein,,beef,beef,dry egg,beef,pea
Earthborn Holistic,Earthborn Holistic Lily’s Gourmet Buffet Grain-Free Natural Moist Dog Food,lambbroth,lamb,driedeggproduct,peaprotein,tapioca,,broth,lamb,dry egg,pea,grain
Earthborn Holistic,Earthborn Holistic Toby’s Turkey Dinner Grain-Free Natural Moist Dog Food,turkeybroth,turkey,driedeggproduct,peaprotein,tapioca,,poultry,poultry,dry egg,pea,grain
Earthborn Holistic,Earthborn Holistic Duke’s Din-Din Grain-Free Natural Moist Dog Food,fishbroth,fish,driedeggproduct,tapioca,salt,,fish,fish,dry egg,grain,null
Earthborn Holistic,Earthborn Holistic Grain-Free Large Breed Dry Dog Food,chickenmeal,peas,tapioca,chickenfat(preservedwithmixedtocopherols),groundflaxseed,,poultryandbonemeal,pea,grain,meat fat,grain
Fromm,Fromm Four-Star Nutritionals Chicken A La Veg Formula Dry Dog Food,chicken,chickenmeal,pearledbarley,oatmeal,sweetpotato,,poultry,poultryandbonemeal,grain,grain,tuber
Fromm,Fromm Four-Star Nutritionals Duck & Sweet Potato Dry Dog Food,duck,duckmeal,pearledbarley,sweetpotato,brownrice,,poultry,dry poultry,grain,tuber,grain
Fromm,Fromm Four-Star Nutritionals Salmon A La Veg Dry Dog Food,salmon,salmonmeal,brownrice,sweetpotato,pearledbarley,,fish,dry fish,grain,tuber,grain
Fromm,Fromm Gold Small Breed Adult Dry Dog Food,duck,chickenmeal,chicken,oatmeal,pearledbarley,,poultry,poultryandbonemeal,poultry,grain,grain
Fromm,Fromm Gold Weight Management Dry Dog Food,turkeyliver,chickenmeal,pearledbarley,oatmeal,driedtomatopomace,,poultry,poultryandbonemeal,grain,grain,veg pulp
Fromm,Fromm Four-Star Nutritionals Shredded Chicken Entree Canned Dog Food,chicken,chickenbroth,carrots,russetpotatoes,peas,,poultry,poultry,other veg,tuber,pea
Fromm,Fromm Four-Star Nutritionals Shredded Pork Canned Dog Food,pork,water,carrots,potatoes,peas,,pork,null,other veg,tuber,pea
Fromm,Fromm Four-Star Nutritionals Shredded Beef Entree Canned Dog Food,beef,beefbroth,carrots,russetpotatoes,peas,,beef,beef,other veg,tuber,pea
Hi-Tek Naturals,Hi-Tek Naturals Grain-Free Chicken Meal & Sweet Potato Formula Adult Dry Dog Food,chickenmeal,sweetpotato,peas,porkmeal,egg,,poultryandbonemeal,tuber,pea,dry pork,egg
Hi-Tek Naturals,"Hi-Tek Naturals Lamb Meal, Barley & Rice Formula Adult Dry Dog Food",lambmeal,barley,whiterice,brownrice,porkmeatmeal,,dry lamb,grain,grain,grain,dry pork
Hi-Tek Naturals,Hi-Tek Naturals Grain-Free Alaskan Fish Formula Adult Dry Dog Food,salmonmeal,sweetpotato,herringmeal,oceanwhitefishmeal,potato,,dry fish,tuber,dry fish,fish,tuber
Horizon,Horizon Legacy Adult Grain-Free Dry Dog Food,chicken,chickenmeal,pea,peastarch,turkeymeal,,poultry,poultryandbonemeal,pea,pea,dry poultry
K9 Natural,K9 Natural Venison Feast Raw Freeze-Dried Dog Food,venisonmeat,venisonbone,lambblood,eggs,lambgreentripe,,beef,bones,lamb,egg,lamb
Lotus,Lotus Wholesome Chicken & Asparagus Stew Grain-Free Canned Dog Food,chicken,chickenbroth,potatostarch,choppedasparagus,chickenfat,,poultry,poultry,tuber,other veg,meat fat
Lotus,Lotus Wholesome Turkey Stew Grain-Free Canned Dog Food,turkey,turkeybroth,potatostarch,calciumlactate,chickenfat,,poultry,poultry,tuber,null,meat fat
NutriSource,NutriSource Chicken & Rice Formula Canned Dog Food,chicken,chickenbroth,chickenliver,oceanfish,brownrice,,poultry,poultry,poultry,fish,grain
NutriSource,"NutriSource Chicken, Lamb & Ocean Fish Formula Canned Dog Food",chicken,chickenbroth,lamb,oceanfish,chickenliver,,poultry,poultry,lamb,fish,poultry
Orijen,Orijen 6 Fish Grain-Free Formula Dry Dog Food,wholesalmon,wholeherring,salmonmeal,herringmeal,pollockmeal,,fish,fish,dry fish,dry fish,dry fish
Pinnacle,Pinnacle Grain-Free Salmon & Potato Recipe Dry Dog Food,salmon,salmonmeal,potatoes,peas,canolaoil(preservedwithmixedtocopherols-sourceofvitamine),,fish,dry fish,tuber,pea,veg fat
Pinnacle,Pinnacle Grain-Free Turkey & Potato Recipe Dry Dog Food,turkey,turkeymeal,potatoes,peas,chickenfat(preservedwithmixedtocopherols-sourceofvitamine),,poultry,dry poultry,tuber,pea,meat fat
Pinnacle,Pinnacle Grain-Free Peak Protein Recipe Dry Dog Food,chickenmeal,chicken,potatoes,chickenfat(preservedwithmixedtocopherolsandcitricacid),tomatopomace,,poultryandbonemeal,poultry,tuber,meat fat,other veg
Pinnacle,Pinnacle Chicken & Oatmeal Recipe Dry Dog Food,chicken,chickenmeal,garbanzobeans,peas,peaflour,,poultry,poultryandbonemeal,pea,pea,pea
Primal,Primal Chicken Formula Nuggets Freeze-Dried Dog Food,chicken,chickennecks,chickengizzards,organickale,organiccarrots,,poultry,poultry,poultry,other veg,other veg
Primal,Primal Beef Formula Nuggets Freeze-Dried Dog Food,beefhearts,beeflivers,groundbeefbones,organickale,organiccarrots,,beef,beef,bones,other veg,other veg
Primal,Primal Lamb Formula Nuggets Freeze-Dried Dog Food,lambhearts,lamblivers,groundlambbones,organickale,organiccarrots,,lamb,lamb,bones,other veg,other veg
Primal,Primal Duck Formula Nuggets Freeze-Dried Dog Food,duck,ducknecks,duckwings,organickale,duckhearts,,poultry,poultry,poultry,other veg,poultry
Primal,Primal Turkey & Sardine Formula Nuggets Freeze-Dried Dog Food,turkey,turkeynecks,wholesardines,turkeyhearts,turkeylivers,,poultry,poultry,fish,poultry,poultry
Stewart Pro-Treat,Stewart Pro-Treat Raw Naturals Chicken Recipe Freeze-Dried Dog Food,chicken,groundchickenbone,chickenliver,chickengizzard,cantaloupe,,poultry,bones,poultry,poultry,other veg
Stewart Pro-Treat,Stewart Pro-Treat Raw Naturals Lamb Recipe Freeze-Dried Dog Food,lamb,lambheart,lambliver,groundlambbone,broccoli,,lamb,lamb,lamb,bones,other veg
Stewart Pro-Treat,Stewart Pro-Treat Raw Naturals Chicken & Salmon Recipe Freeze-Dried Dog Food,chicken,groundchickenbone,chickenliver,salmon,broccoli,,poultry,bones,poultry,fish,other veg
The Honest Kitchen,The Honest Kitchen Force Dehydrated Dog Food,allingredientsdehydrated:chicken,organicflaxseed,potatoes,celery,sweetpotatoes,,dry poultry,grain,tuber,other veg,tuber
The Honest Kitchen,The Honest Kitchen Embark Dehydrated Dog Food,allingredientsdehydrated:turkey,organicflaxseed,potatoes,celery,spinach,,dry poultry,grain,tuber,other veg,other veg
The Honest Kitchen,The Honest Kitchen Love Dehydrated Dog Food,allingredientsdehydrated:beef,sweetpotatoes,potatoes,organicflaxseed,organiccoconut,,dry beef,tuber,tuber,grain,other veg
The Real Meat Company,The Real Meat Company 90% Beef Air-Dried Dog Food,beef,beeflung,beefliver,beefheart,parsley,,beef,beef,beef,beef,other veg
The Real Meat Company,The Real Meat Company 90% Chicken Air-Dried Dog Food,chicken,chickenliver,chickenheart,chickengizzard,chickennecks,,poultry,poultry,poultry,poultry,poultry
The Real Meat Company,The Real Meat Company 90% Lamb Air-Dried Dog Food,lamb,lamblung,lambliver,lambheart,parsley,,lamb,lamb,lamb,lamb,other veg
VeRUS,VeRUS Chicken & Brown Rice Formula Canned Dog Food,chicken,chickenbroth,chickenliver,brownrice,pearledbarley,,poultry,poultry,poultry,grain,grain
VeRUS,VeRUS Beef & Barley Formula Canned Dog Food,beef,beefbroth,beefliver,pearledbarley,brownrice,,beef,beef,beef,grain,grain
Wysong,Wysong Archetype Chicken Formula Freeze-Dried Dog & Cat Food,chicken,chickenorgans,groundchickenbone,naturalflavor,taurine,,poultry,poultry,bones,null,null
Wysong,Wysong Fundamentals Dry Dog & Cat Food,chickenmeal,brownrice,organicchicken,chickenfat,naturalchickenflavor,,poultryandbonemeal,grain,poultry,meat fat,null
ZiwiPeak,ZiwiPeak Daily-Dog Beef Cuisine Canned Dog Food,beefmeat,beefliver,beeflung,beeftripe,newzealandgreen-lippedmussel,,beef,beef,beef,beef,fish
Orijen,Orijen Adult Grain-Free Dry Dog Food,bonelesschicken,chickenmeal,chickenliver,wholeherring,bonelessturkey,,poultry,poultryandbonemeal,poultry,fish,poultry
Orijen,Orijen Regional Red Grain-Free Dry Dog Food,bonelessangusbeef,bonelesswildboar,bonelesslamb,beefliver,bonelesspork,,beef,pork,lamb,beef,pork
Orijen,Orijen Senior Grain-Free Dry Dog Food,bonelesschicken,chickenmeal,chickenliver,wholeherring,turkeymeal,,poultry,poultryandbonemeal,poultry,fish,dry poultry
ZiwiPeak,ZiwiPeak Daily-Dog Lamb Cuisine Air-Dried Dog Food,lamb-meat(includesupto3%finelygroundbone),lamb-liver,lung,tripe,heartandkidney,,lamb,lamb,beef,beef,beef
ZiwiPeak,ZiwiPeak Daily-Dog Venison Cuisine Air-Dried Dog Food,venison-meat(includesupto3%finelygroundbone),venison-liver,lung,tripe,heartandkidney,,beef,beef,beef,beef,beef
ZiwiPeak,ZiwiPeak Daily-Dog Venison & Fish Cuisine Air-Dried Dog Food,venison-meat(includesupto3%finelygroundbone),hokifish,venison-liver,lung,tripe,,beef,fish,beef,beef,beef
ZiwiPeak,ZiwiPeak Daily-Dog Beef Cuisine Air-Dried Dog Food,beef-meat(includesupto3%finelygroundbone),beef-liver,lung,tripe,newzealandgreen-lippedmussel,,beef,beef,beef,beef,fish
ZiwiPeak,ZiwiPeak Daily-Dog Cuisine Rabbit & Lamb Canned Dog Food,rabbitmeat,lambmeat,lambliver,lamblung,lambtripe,,poultry,lamb,lamb,lamb,lamb
ZiwiPeak,ZiwiPeak Daily-Dog Cuisine Venison Canned Dog Food,venisonmeat,venisonliver,venisonlung,venisontripe,venisonheartandkidney,,beef,beef,beef,beef,beef
